Starting 200-game Draughts ablation tournament (Zone-Guided MCVS vs standard UCT)
Game 138/200 | UCT        (moves= 49) | MCVS wins:  32 | Draws:  13 | Zone DB size: 3,537 | ETA: 131.0 min
Game 139/200 | UCT        (moves=102) | MCVS wins:  32 | Draws:  13 | Zone DB size: 3,569 | ETA: 129.1 min
Game 140/200 | MCVS       (moves=112) | MCVS wins:  33 | Draws:  13 | Zone DB size: 3,599 | ETA: 127.3 min
Game 141/200 | UCT        (moves= 44) | MCVS wins:  33 | Draws:  13 | Zone DB size: 3,614 | ETA: 124.8 min
Game 142/200 | Draw       (moves=150) | MCVS wins:  33 | Draws:  14 | Zone DB size: 3,646 | ETA: 123.4 min
Game 143/200 | MCVS       (moves= 71) | MCVS wins:  34 | Draws:  14 | Zone DB size: 3,668 | ETA: 121.2 min
Game 144/200 | MCVS       (moves= 40) | MCVS wins:  35 | Draws:  14 | Zone DB size: 3,683 | ETA: 118.6 min
Game 145/200 | UCT        (moves= 46) | MCVS wins:  35 | Draws:  14 | Zone DB size: 3,701 | ETA: 116.2 min
Game 146/200 | UCT        (moves= 43) | MCVS wins:  35 | Draws:  14 | Zone DB size: 3,715 | ETA: 113.7 min
Game 147/200 | UCT        (moves= 46) | MCVS wins:  35 | Draws:  14 | Zone DB size: 3,733 | ETA: 111.3 min
Game 148/200 | UCT        (moves=109) | MCVS wins:  35 | Draws:  14 | Zone DB size: 3,768 | ETA: 109.5 min
Game 149/200 | UCT        (moves= 46) | MCVS wins:  35 | Draws:  14 | Zone DB size: 3,783 | ETA: 107.0 min
Game 150/200 | MCVS       (moves=110) | MCVS wins:  36 | Draws:  14 | Zone DB size: 3,821 | ETA: 105.2 min
Game 151/200 | MCVS       (moves=125) | MCVS wins:  37 | Draws:  14 | Zone DB size: 3,861 | ETA: 103.5 min
Game 152/200 | MCVS       (moves=102) | MCVS wins:  38 | Draws:  14 | Zone DB size: 3,898 | ETA: 101.5 min
Game 153/200 | UCT        (moves= 70) | MCVS wins:  38 | Draws:  14 | Zone DB size: 3,918 | ETA: 99.3 min
Game 154/200 | UCT        (moves=115) | MCVS wins:  38 | Draws:  14 | Zone DB size: 3,952 | ETA: 97.5 min
Game 155/200 | Draw       (moves=150) | MCVS wins:  38 | Draws:  15 | Zone DB size: 3,995 | ETA: 95.9 min
Game 156/200 | UCT        (moves= 47) | MCVS wins:  38 | Draws:  15 | Zone DB size: 4,012 | ETA: 93.5 min
Game 157/200 | MCVS       (moves= 43) | MCVS wins:  39 | Draws:  15 | Zone DB size: 4,027 | ETA: 91.1 min
Game 158/200 | MCVS       (moves= 46) | MCVS wins:  40 | Draws:  15 | Zone DB size: 4,043 | ETA: 88.8 min
